datetime,outflow,inflow
2013-03-07,0.5355371891808,1.1484297501321599
2013-03-08,0.5355371891808,0.2380165285248
2013-03-09,0.56132231310432,0.47999999919167996
2013-03-10,0.62280991630656,0.20628099138816
2013-03-11,0.69223140379296,0.13487603283072
2013-03-12,0.8231404944816,0.54942148667808
2013-03-13,0.89851239518112,0.44429751991295996
2013-03-14,0.9223140480336,0.12297520640448
2013-03-15,0.95603305624128,-3.4314049528992
2013-03-16,0.9719008248095999,3.7626446217628797
2013-03-17,0.97983470909376,0.40859504063424
2013-03-18,0.9917355355199999,0.52760330489664
2013-03-19,0.98380165123584,-0.56925619738848
2013-03-20,0.9719008248095999,1.39041322079904
2013-03-21,0.9719008248095999,0.32925619779264
2013-03-22,0.97983470909376,-0.14082644604384
2013-03-23,1.02347107265664,0.34909090850304
2013-03-24,1.05917355193536,0.15669421461216
2013-03-25,1.2495867747551999,0.43834710669984
2013-03-26,1.2793388408208,0.18644628067776
2013-03-27,1.12462809727968,0.18446280960671999
2013-03-28,1.3943801629411199,0.61090908988032
2013-03-29,2.280991731696,1.2317355351158399
2013-03-30,2.280991731696,3.619834704648
2013-03-31,2.22942148384896,-0.22611570209856
2013-04-01,2.082644624592,1.60264462540032
2013-04-02,1.9933884263952,1.3586776836624
2013-04-03,1.96561983140064,1.57090908826368
2013-04-04,1.8585123935644798,1.785123963936
2013-04-05,1.74942148465728,1.28132231189184
2013-04-06,1.68396693931296,1.61057850968448
2013-04-07,1.6799999971708799,1.140495865848
2013-04-08,1.685950410384,0.94413222981504
2013-04-09,1.685950410384,1.5272727247008
2013-04-10,1.6978512368102399,1.9438016496191999
2013-04-11,1.73553718716,0.99371900659104
2013-04-12,1.7791735507228799,1.4181818157936
2013-04-13,1.834710740712,1.50942148506144
2013-04-14,1.8545454514224,0.95801652731232
2013-04-15,1.90809917034048,1.38049586544384
2013-04-16,1.94776859176128,0.53950413132288
2013-04-17,1.97950412889792,1.3090909068864
2013-04-18,1.9537190049744,1.4955371875641599
2013-04-19,1.933884294264,1.40628098936736
2013-04-20,1.933884294264,1.46578512149856
2013-04-21,1.94578512069024,1.65421487324736
2013-04-22,2.0231404924608,1.29322313831808
2013-04-23,2.09057850887616,0.78942148627392
2013-04-24,2.19371900457024,1.6185123939686399
2013-04-25,2.26909090526976,1.49157024542208
2013-04-26,2.3603305745376,1.3110743779574399
2013-04-27,2.4634710702316798,1.40231404722528
2013-04-28,2.5190082602208,1.5173553693456
2013-04-29,2.5190082602208,1.090909089072
2013-04-30,2.48528925201312,1.1504132212031999
2013-05-01,2.48330578094208,0.7477685937820799
2013-05-02,2.46743801237376,2.07867768244992
2013-05-03,2.39206611167424,1.82876032749888
2013-05-04,2.29289255812224,0.6763636352246399
2013-05-05,2.2710743763408,1.438016526504
2013-05-06,2.28297520276704,1.74743801358624
2013-05-07,2.27900826062496,1.41619834472256
2013-05-08,2.24727272348832,1.0016528908752
2013-05-09,2.20363635992544,1.36462809687552
2013-05-10,2.1719008227888,1.43008264221984
2013-05-11,2.1719008227888,1.38247933651488
2013-05-12,2.1719008227888,1.60859503861344
2013-05-13,2.1719008227888,1.4578512372144
2013-05-14,2.181818178144,1.49157024542208
2013-05-15,2.2016528888544,1.51140495613248
2013-05-16,1.33487603080992,-0.06347107427328
2013-05-17,1.16231404762944,0.04363636356288
2013-05-18,1.18809917155296,0.4363636356288
2013-05-19,1.15636363441632,-0.55338842882016
2013-05-20,1.10479338656928,0.34115702421888
2013-05-21,1.11669421299552,0.70809917236128
2013-05-22,1.15636363441632,-0.62876032951968
2013-05-23,1.16429751870048,-0.01190082642624
2013-05-24,1.13454545263488,0.12099173533344
2013-05-25,1.16429751870048,0.17652892532255998
2013-05-26,1.1900826426239999,-0.25190082602207997
2013-05-27,1.22380165083168,0.29950413172704
2013-05-28,1.24165289047104,-0.24396694173792
2013-05-29,1.2297520640447999,0.8092561969843199
2013-05-30,1.2297520640447999,0.00198347107104
2013-05-31,1.21785123761856,0.09520661140992
2013-06-01,1.24561983261312,0.3570247927872
2013-06-02,1.32495867545472,0.19239669389088
2013-06-03,1.36066115473344,0.34512396636096
2013-06-04,1.4340495843619199,0.13487603283072
2013-06-05,1.40429751829632,0.22413223102752
2013-06-06,1.3923966918700799,0.32132231350848
